id,text,context,stance_label,impact_label
train_0,"All adoption agencies conduct interviews and home-studies, which are partly meant to be educative experiences for prospective parents. When such interviews are conducted in the licensing process, parents will have an opportunity to learn more about parenting.","['A license should be required in order to have a child (procreate).', 'It is impossible to design a test that accurately assesses the ability to be a parent.', ""What constitutes ideal or adequate parenthood is at least partly a cultural value judgement that isn't meant to reflect a scientific standard (but rather a cultural one).""]","['NULL', 'OPPOSE', 'OPPOSE', 'SUPPORT']",MEDIUM_IMPACT
train_1,"Genetically modified crops need fewer scarce resources like water to grow, which makes them environmentally friendly and economically viable.","['The sale of genetically modified food should be banned.', 'Genetically modified crops are better for the environment.']","['NULL', 'OPPOSE', 'SUPPORT']",IMPACTFUL
train_2,"Some of Antifa's actions may be morally questionable, but to claim that it is as bad as white supremacists is blatantly untrue.","['Democrats should not cooperate with Donald Trump’s presidency.', 'Refusing to cooperate with or obstructing the other party when they are in government violates democratic norms and principles.', ""Democrats condemned Republicans for unwarranted obstructionism aimed at hurting Obama's political standing; it would be hypocritical of them to do the same now."", 'This assumes that obstructions faced by Trump are unwarranted, whereas this may not be the case.', 'Cooperating with Trump makes him appear to be just like any other Republican president, something he is not given the themes of xenophobia, sexism, anti-Semitism and Islamophobia prominent in his campaign.', 'Trump ran on a campaign of implicit white nationalism. Cooperating with him sanctions tribalism as a legitimate political strategy, a strategy that is antithetical to liberal pluralist democracy.', ""Trump defended white nationalists as 'very fine people' during the Charlottesville protests."", ""Trump has condemned white nationalists and Antifa which is just as bad as the white nationalists. Just because Trump rightfully condemned both groups doesn't mean he supports white nationalism.""]","['NULL', 'OPPOSE', 'SUPPORT', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'SUPPORT', 'OPPOSE', 'OPPOSE']",MEDIUM_IMPACT
train_3,Most pet lovers eat animals.,"['People should donate to organisations that support gorillas instead of to those that support starving children.', 'A human life is worth more than the life of an animal. Thus it would be immoral to donate money to support gorillas whilst children are starving.', 'Faced with a hypothetical situation in which they could save only their pet or a foreign tourist from being hit by a bus, 40% of the participants chose their pet. For some the life of a human is apparently worth less.', ""Pet lovers care about their pets because they have a special relationship with them, not because of their pets' status of being animals and thus deserving this much love.""]","['NULL', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'SUPPORT']",MEDIUM_IMPACT
train_4,Biologically-driven reproductive desires are clearly not universal given homosexuality has been common throughout human history.,"['Gender (the concept of masculinity and femininity) is a social construct.', 'The hierarchical structure of gender is upheld in order to maintain social control.', 'Patriarchal societies have an interest in perpetuating a societal system traditionally run by men. They do this through the idea of fixed gender identities and roles.', 'Patriarchy is a division of social roles based on natural biological gender differences.', 'The differences between men and women are all connected to reproductive functions.', 'The evolutionary approach argues that differences in sex behavior are based on biological reproductive desires, whereby men seek to spread their genetic material while women are more selective in reproducing.']","['NULL', 'SUPPORT', 'SUPPORT', 'OPPOSE', 'SUPPORT', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_5,"This is true only of countries where family planning is legal or affordable, or where citizens have easy access to healthcare institutions.","['A license should be required in order to have a child (procreate).', 'The state does not get a legitimate claim to the custody of children whose parents fail to get a license.', 'Where parents fail to provide basic conditions for their children, this is often at least in part due to a failure on the part of the state.', 'If prospective parents fall pregnant, and fail to obtain a license to raise that child, they are responsible for failing to provide the child with a good home, not the state.', ""There are various preventative methods that are accessible to people who wish to engage in intercourse but aren't ready for parenthood.""]","['NULL', 'OPPOSE', 'SUPPORT', 'OPPOSE', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_6,Criminalizing begging could reinforce unfair stereotypes against beggars.,['Begging for money should be illegal.'],"['NULL', 'SUPPORT']",IMPACTFUL
train_7,"When governments fail to uphold their duty in protecting their citizens from extreme poverty, it is wrong to punish these failed citizens by banning begging.",['Begging for money should be illegal.'],"['NULL', 'OPPOSE']",IMPACTFUL
train_8,"There is very little verifiable evidence to state that anyone has been deterred from serious crimes by danger of torture in the future. For a 2014 study, see mdpi.com","['Physical torture of prisoners is an acceptable interrogation tool.', 'Torture, conceptually, could act as an excellent deterrent; knowing torture is acceptable is likely to make individuals reconsider actions that leave them vulnerable to it.']","['NULL', 'SUPPORT', 'OPPOSE']",IMPACTFUL
train_9,Watching and participating in bullfights harms the emotional and mental well-being of children.,"['Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them (for example, Spanish bullfighting in a ring or bull-running)- should be banned.', 'The aggression catharsis hypothesis suggests that bullfights are useful to collectively free ourselves of negative and aggressive feelings, which are inherent to human nature.']","['NULL', 'OPPOSE', 'OPPOSE']",IMPACTFUL
train_10,We could take advantage of this occasion to create a better language.,['We should have a single global language.'],"['NULL', 'SUPPORT']",IMPACTFUL
train_11,Standing up to President Trump and refusing to cooperate shows a united front and brings together a party which was heavily divided during the 2016 primaries.,"['Democrats should not cooperate with Donald Trump’s presidency.', 'Refusing to cooperate with or obstructing the other party when they are in government violates democratic norms and principles.', 'Blanket obstructionist politics are justified if the minority feels the majority or the executive has been elected on a wholly objectionable platform.', 'American politics is sufficiently polarised that the loser in any election will likely feel that the winner has been elected on an objectionable platform. Acceptance of this principle would entail that parties are never obligated to cooperate with each other.', 'Cooperating with Trump normalises his Presidency and everything he stands for, something which Democrats should be opposed to.', 'Cooperating with Trump makes him appear to be just like any other Republican president, something he is not given the themes of xenophobia, sexism, anti-Semitism and Islamophobia prominent in his campaign.', ""If Trump's platform is explicitly racist, Democrats should focus on moderating his proposed legislation by cooperating with him, in order to minimise the harmful impact of the legislation."", 'Cooperation with Trump is bound to fail; Democrats should focus on forming a policy platform which they can run on in 2018 and 2020.']","['NULL', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'SUPPORT', 'OPPOSE', 'OPPOSE', 'SUPPORT']",MEDIUM_IMPACT
train_12,"Society censors what it finds harmful to the public. Thus, censoring women's nipples implies that they are in some way harmful to society. In turn, this can oppress women's ability to accept their bodies as something positive.","['Gender restrictions on nipple showing in the US should be eliminated.', 'Censoring nipples is oppressive to women.']","['NULL', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_13,The legalisation of drugs could lead to better education on how to be safe around them.,"['All drugs should be legalised.', 'The legalisation of drugs could mean that they are taken more safely and cautiously than in the current environment.']","['NULL', 'SUPPORT', 'SUPPORT']",IMPACTFUL
train_14,"Since Facebook and Twitter are legally registered in the US, only US law should be applied to them.","['Facebook and Twitter should remove accounts of terrorist organisations, such as ISIS, from their sites.', 'Facebook and Twitter should not take political positions.', 'Taking political positions is against their business model.', 'Legal reasons aside, commercial interests compel Twitter and Facebook to comply with local laws since they would like to continue operating globally.', 'Facebook and Twitter are powerful commercial actors that can stand up to government pressure if they decide to do so.', 'Facebook and Twitter are not the correct actor to make the definitional judgement calls on who counts as a terror organisation.', 'Governments all around the world publish lists of officially designated terror organisations. Facebook and Twitter can base their decisions on those lists and delete accounts affiliated with any organisation on those lists.']","['NULL', 'OPPOSE', 'SUPPORT', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'OPPOSE', 'OPPOSE']",NOT_IMPACTFUL
